Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
11/11/2024,USD,108.667,USD,108.667,USD,108.667,108.667,,,
12/11/2024,USD,108.659,USD,108.659,USD,108.659,108.659,,,
13/11/2024,USD,108.684,USD,108.684,USD,108.684,108.684,,,
14/11/2024,USD,108.676,USD,108.676,USD,108.676,108.676,,,
15/11/2024,USD,111.103,USD,111.103,USD,111.103,111.103,,,
18/11/2024,USD,111.081,USD,111.081,USD,111.081,111.081,,,
19/11/2024,USD,111.073,USD,111.073,USD,111.073,111.073,,,
20/11/2024,USD,111.066,USD,111.066,USD,111.066,111.066,,,
21/11/2024,USD,111.058,USD,111.058,USD,111.058,111.058,,,
22/11/2024,USD,111.182,USD,111.182,USD,111.182,111.182,,,
25/11/2024,USD,111.16,USD,111.16,USD,111.16,111.16,,,
26/11/2024,USD,111.152,USD,111.152,USD,111.152,111.152,,,
27/11/2024,USD,111.145,USD,111.145,USD,111.145,111.145,,,
28/11/2024,USD,111.137,USD,111.137,USD,111.137,111.137,,,
29/11/2024,USD,112.295,USD,112.295,USD,112.295,112.295,,,
02/12/2024,USD,112.272,USD,112.272,USD,112.272,112.272,,,
03/12/2024,USD,112.264,USD,112.264,USD,112.264,112.264,,,
04/12/2024,USD,112.256,USD,112.256,USD,112.256,112.256,,,
05/12/2024,USD,112.249,USD,112.249,USD,112.249,112.249,,,
06/12/2024,USD,113.735,USD,113.735,USD,113.735,113.735,,,
09/12/2024,USD,113.712,USD,113.712,USD,113.712,113.712,,,
10/12/2024,USD,113.703,USD,113.703,USD,113.703,113.703,,,
11/12/2024,USD,113.695,USD,113.695,USD,113.695,113.695,,,
12/12/2024,USD,113.688,USD,113.688,USD,113.688,113.688,,,
13/12/2024,USD,110.648,USD,110.648,USD,110.648,110.648,,,
16/12/2024,USD,110.626,USD,110.626,USD,110.626,110.626,,,
17/12/2024,USD,110.619,USD,110.619,USD,110.619,110.619,,,
18/12/2024,USD,110.611,USD,110.611,USD,110.611,110.611,,,
19/12/2024,USD,110.604,USD,110.604,USD,110.604,110.604,,,
20/12/2024,USD,110.992,USD,110.992,USD,110.992,110.992,,,
24/12/2024,USD,110.963,USD,110.963,USD,110.963,110.963,,,
27/12/2024,USD,110.94,USD,110.94,USD,110.94,110.94,,,
30/12/2024,USD,110.918,USD,110.918,USD,110.918,110.918,,,
03/01/2025,USD,110.888,USD,110.888,USD,110.888,110.888,,,
06/01/2025,USD,110.867,USD,110.867,USD,110.867,110.867,,,
07/01/2025,USD,110.86,USD,110.86,USD,110.86,110.86,,,
08/01/2025,USD,112.966,USD,112.966,USD,112.966,112.966,,,
09/01/2025,USD,112.958,USD,112.958,USD,112.958,112.958,,,
10/01/2025,USD,112.863,USD,112.863,USD,112.863,112.863,,,
14/01/2025,USD,112.85,USD,112.85,USD,112.85,112.85,,,
15/01/2025,USD,112.825,USD,112.825,USD,112.825,112.825,,,
16/01/2025,USD,112.817,USD,112.817,USD,112.817,112.817,,,
17/01/2025,USD,112.466,USD,112.466,USD,112.466,112.466,,,
20/01/2025,USD,112.443,USD,112.443,USD,112.443,112.443,,,
21/01/2025,USD,112.436,USD,112.436,USD,112.436,112.436,,,
22/01/2025,USD,112.428,USD,112.428,USD,112.428,112.428,,,
23/01/2025,USD,112.42,USD,112.42,USD,112.42,112.42,,,
24/01/2025,USD,113.764,USD,113.764,USD,113.764,113.764,,,
27/01/2025,USD,113.739,USD,113.739,USD,113.739,113.739,,,
28/01/2025,USD,113.732,USD,113.732,USD,113.732,113.732,,,
30/01/2025,USD,113.716,USD,113.716,USD,113.716,113.716,,,
31/01/2025,USD,117.316,USD,117.316,USD,117.316,117.316,,,
03/02/2025,USD,117.325,USD,117.325,USD,117.325,117.325,,,
04/02/2025,USD,117.317,USD,117.317,USD,117.317,117.317,,,
05/02/2025,USD,117.309,USD,117.309,USD,117.309,117.309,,,
06/02/2025,USD,117.302,USD,117.302,USD,117.302,117.302,,,
07/02/2025,USD,118.58,USD,118.58,USD,118.58,118.58,,,
10/02/2025,USD,118.556,USD,118.556,USD,118.556,118.556,,,
11/02/2025,USD,118.548,USD,118.548,USD,118.548,118.548,,,
12/02/2025,USD,118.54,USD,118.54,USD,118.54,118.54,,,
13/02/2025,USD,118.528,USD,118.528,USD,118.528,118.528,,,
14/02/2025,USD,118.5,USD,118.5,USD,118.5,118.5,,,
17/02/2025,USD,118.472,USD,118.472,USD,118.472,118.472,,,
20/02/2025,USD,118.449,USD,118.449,USD,118.449,118.449,,,
21/02/2025,USD,122.462,USD,122.462,USD,122.462,122.462,,,
24/02/2025,USD,122.439,USD,122.439,USD,122.439,122.439,,,
25/02/2025,USD,122.431,USD,122.431,USD,122.431,122.431,,,
26/02/2025,USD,122.422,USD,122.422,USD,122.422,122.422,,,
27/02/2025,USD,122.414,USD,122.414,USD,122.414,122.414,,,
28/02/2025,USD,125.287,USD,125.287,USD,125.287,125.287,,,
03/03/2025,USD,125.262,USD,125.262,USD,125.262,125.262,,,
