Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
23/07/2024,USD,108.2,USD,108.2,USD,108.2,108.2,,,
24/07/2024,USD,108.193,USD,108.193,USD,108.193,108.193,,,
25/07/2024,USD,108.185,USD,108.185,USD,108.185,108.185,,,
26/07/2024,USD,108.689,USD,108.689,USD,108.689,108.689,,,
29/07/2024,USD,108.667,USD,108.667,USD,108.667,108.667,,,
30/07/2024,USD,108.659,USD,108.659,USD,108.659,108.659,,,
31/07/2024,USD,108.652,USD,108.652,USD,108.652,108.652,,,
05/08/2024,USD,108.393,USD,108.393,USD,108.393,108.393,,,
06/08/2024,USD,108.385,USD,108.385,USD,108.385,108.385,,,
07/08/2024,USD,108.384,USD,108.384,USD,108.384,108.384,,,
08/08/2024,USD,108.377,USD,108.377,USD,108.377,108.377,,,
09/08/2024,USD,108.37,USD,108.37,USD,108.37,108.37,,,
12/08/2024,USD,108.347,USD,108.347,USD,108.347,108.347,,,
13/08/2024,USD,106.765,USD,106.765,USD,106.765,106.765,,,
14/08/2024,USD,106.758,USD,106.758,USD,106.758,106.758,,,
15/08/2024,USD,106.751,USD,106.751,USD,106.751,106.751,,,
16/08/2024,USD,106.744,USD,106.744,USD,106.744,106.744,,,
19/08/2024,USD,106.724,USD,106.724,USD,106.724,106.724,,,
20/08/2024,USD,106.686,USD,106.686,USD,106.686,106.686,,,
21/08/2024,USD,106.678,USD,106.678,USD,106.678,106.678,,,
22/08/2024,USD,106.67,USD,106.67,USD,106.67,106.67,,,
23/08/2024,USD,106.483,USD,106.483,USD,106.483,106.483,,,
27/08/2024,USD,106.511,USD,106.511,USD,106.511,106.511,,,
28/08/2024,USD,106.446,USD,106.446,USD,106.446,106.446,,,
29/08/2024,USD,106.438,USD,106.438,USD,106.438,106.438,,,
30/08/2024,USD,106.431,USD,106.431,USD,106.431,106.431,,,
02/09/2024,USD,106.802,USD,106.802,USD,106.802,106.802,,,
03/09/2024,USD,108.103,USD,108.103,USD,108.103,108.103,,,
04/09/2024,USD,106.786,USD,106.786,USD,106.786,106.786,,,
05/09/2024,USD,106.779,USD,106.779,USD,106.779,106.779,,,
06/09/2024,USD,107.022,USD,107.022,USD,107.022,107.022,,,
09/09/2024,USD,107.002,USD,107.002,USD,107.002,107.002,,,
10/09/2024,USD,106.993,USD,106.993,USD,106.993,106.993,,,
11/09/2024,USD,106.986,USD,106.986,USD,106.986,106.986,,,
12/09/2024,USD,106.979,USD,106.979,USD,106.979,106.979,,,
13/09/2024,USD,106.558,USD,106.558,USD,106.558,106.558,,,
17/09/2024,USD,106.53,USD,106.53,USD,106.53,106.53,,,
18/09/2024,USD,106.522,USD,106.522,USD,106.522,106.522,,,
19/09/2024,USD,106.515,USD,106.515,USD,106.515,106.515,,,
20/09/2024,USD,106.564,USD,106.564,USD,106.564,106.564,,,
23/09/2024,USD,106.544,USD,106.544,USD,106.544,106.544,,,
24/09/2024,USD,106.536,USD,106.536,USD,106.536,106.536,,,
25/09/2024,USD,106.528,USD,106.528,USD,106.528,106.528,,,
26/09/2024,USD,106.521,USD,106.521,USD,106.521,106.521,,,
27/09/2024,USD,105.08,USD,105.08,USD,105.08,105.08,,,
30/09/2024,USD,105.058,USD,105.058,USD,105.058,105.058,,,
01/10/2024,USD,105.051,USD,105.051,USD,105.051,105.051,,,
02/10/2024,USD,105.044,USD,105.044,USD,105.044,105.044,,,
03/10/2024,USD,105.036,USD,105.036,USD,105.036,105.036,,,
04/10/2024,USD,105.053,USD,105.053,USD,105.053,105.053,,,
07/10/2024,USD,105.031,USD,105.031,USD,105.031,105.031,,,
08/10/2024,USD,105.024,USD,105.024,USD,105.024,105.024,,,
10/10/2024,USD,105.01,USD,105.01,USD,105.01,105.01,,,
11/10/2024,USD,105.948,USD,105.948,USD,105.948,105.948,,,
14/10/2024,USD,105.926,USD,105.926,USD,105.926,105.926,,,
15/10/2024,USD,105.919,USD,105.919,USD,105.919,105.919,,,
16/10/2024,USD,105.912,USD,105.912,USD,105.912,105.912,,,
17/10/2024,USD,105.905,USD,105.905,USD,105.905,105.905,,,
18/10/2024,USD,106.212,USD,106.212,USD,106.212,106.212,,,
21/10/2024,USD,106.193,USD,106.193,USD,106.193,106.193,,,
22/10/2024,USD,106.186,USD,106.186,USD,106.186,106.186,,,
23/10/2024,USD,106.178,USD,106.178,USD,106.178,106.178,,,
24/10/2024,USD,106.171,USD,106.171,USD,106.171,106.171,,,
25/10/2024,USD,107.406,USD,107.406,USD,107.406,107.406,,,
31/10/2024,USD,109.191,USD,109.191,USD,109.191,109.191,,,
01/11/2024,USD,109.183,USD,109.183,USD,109.183,109.183,,,
04/11/2024,USD,109.161,USD,109.161,USD,109.161,109.161,,,
05/11/2024,USD,109.154,USD,109.154,USD,109.154,109.154,,,
06/11/2024,USD,109.146,USD,109.146,USD,109.146,109.146,,,
07/11/2024,USD,109.139,USD,109.139,USD,109.139,109.139,,,
08/11/2024,USD,108.688,USD,108.688,USD,108.688,108.688,,,
